"Step","Feb25_18-22-37_trpo_rover_TRPO - Reward / Total reward (mean)","Feb25_18-22-37_trpo_rover_TRPO - Reward / Total reward (mean)__MIN","Feb25_18-22-37_trpo_rover_TRPO - Reward / Total reward (mean)__MAX"
"7582","1.3798604","1.3798604","1.3798604"
"7603","1.2003139","1.2003139","1.2003139"
"7616","1.645572","1.645572","1.645572"
"7633","1.646842","1.646842","1.646842"
"7662","1.4002943","1.4002943","1.4002943"
"7683","1.2307942","1.2307942","1.2307942"
"7700","1.2797368","1.2797368","1.2797368"
"7721","1.1179641","1.1179641","1.1179641"
"7734","1.4101876","1.4101876","1.4101876"
"7751","1.3654563","1.3654563","1.3654563"
"7772","1.3011494","1.3011494","1.3011494"
"7793","1.4252018","1.4252018","1.4252018"
"7818","1.353851","1.353851","1.353851"
"7831","1.5287745","1.5287745","1.5287745"
"7860","1.3477246","1.3477246","1.3477246"
"7877","1.0414721","1.0414721","1.0414721"
"7890","0.80925465","0.80925465","0.80925465"
"7919","1.1194011","1.1194011","1.1194011"
"7928","1.4152771","1.4152771","1.4152771"
"7949","1.3774881","1.3774881","1.3774881"
"7978","1.1972072","1.1972072","1.1972072"
"7995","1.2093589","1.2093589","1.2093589"
"8008","1.1099908","1.1099908","1.1099908"
"8029","0.9674885","0.9674885","0.9674885"
"8054","1.2774546","1.2774546","1.2774546"
"8075","1.492756","1.492756","1.492756"
"8096","1.3174115","1.3174115","1.3174115"
"8105","1.5550256","1.5550256","1.5550256"
"8126","1.117777","1.117777","1.117777"
"8147","1.5949537","1.5949537","1.5949537"
"8164","1.214065","1.214065","1.214065"
"8185","1.416369","1.416369","1.416369"
"8214","1.5285927","1.5285927","1.5285927"
"8223","1.7184235","1.7184235","1.7184235"
"8244","0.98070455","0.98070455","0.98070455"
"8273","1.3000482","1.3000482","1.3000482"
"8282","1.5629363","1.5629363","1.5629363"
"8303","1.2317766","1.2317766","1.2317766"
"8332","1.1949556","1.1949556","1.1949556"
"8341","0.8903284","0.8903284","0.8903284"
"8362","1.3013513","1.3013513","1.3013513"
"8391","1.3360364","1.3360364","1.3360364"
"8408","1.3525927","1.3525927","1.3525927"
"8429","1.5775776","1.5775776","1.5775776"
"8442","1.6046864","1.6046864","1.6046864"
"8459","1.1827916","1.1827916","1.1827916"
"8480","1.3263582","1.3263582","1.3263582"
"8509","1.4973162","1.4973162","1.4973162"
"8518","1.5369778","1.5369778","1.5369778"
"8539","1.6592425","1.6592425","1.6592425"
"8560","1.5181651","1.5181651","1.5181651"
"8577","1.2047789","1.2047789","1.2047789"
"8606","1.3939404","1.3939404","1.3939404"
"8627","1.4657714","1.4657714","1.4657714"
"8644","1.20032","1.20032","1.20032"
"8665","1.1578156","1.1578156","1.1578156"
"8686","0.95412827","0.95412827","0.95412827"
"8695","1.5783023","1.5783023","1.5783023"
"8724","1.5961349","1.5961349","1.5961349"
"8737","1.5113397","1.5113397","1.5113397"
"8754","1.4694949","1.4694949","1.4694949"
"8775","1.1148195","1.1148195","1.1148195"
"8796","1.3620414","1.3620414","1.3620414"
"8821","1.4955468","1.4955468","1.4955468"
"8834","1.4291202","1.4291202","1.4291202"
"8855","1.3033473","1.3033473","1.3033473"
"8872","1.4977247","1.4977247","1.4977247"
"8893","1.3838148","1.3838148","1.3838148"
"8914","1.2123021","1.2123021","1.2123021"
"8931","1.3271277","1.3271277","1.3271277"
