elapsed_s,r0_speed,r0_distance,r0_x,r0_y,r1_speed,r1_distance,r1_x,r1_y
18.302,0.6699,56.1915,111.9084,101.2803,0.8286,84.425,109.438,106.8731
18.402,0.6364,55.9838,111.9084,101.2803,0.7871,84.5013,109.438,106.8731
18.502,0.6046,55.9838,111.9084,101.2803,0.7478,84.5013,109.438,106.8731
18.602,0.6772,55.7876,112.0725,101.1571,0.8387,84.5866,109.5559,107.0977
18.702,0.6433,55.7876,112.0725,101.1571,0.7968,84.5866,109.5559,107.0977
18.802,0.6111,55.7876,112.0725,101.1571,0.7569,84.5866,109.5559,107.0977
18.902,0.6789,55.5912,112.2295,101.0139,0.838,84.6694,109.6777,107.3215
19.002,0.6449,55.5912,112.2295,101.0139,0.7961,84.6694,109.6777,107.3215
19.102,0.6449,55.5912,112.2295,101.0139,0.7961,84.6694,109.6777,107.3215
19.202,0.5821,55.5912,112.2295,101.0139,0.7184,84.6694,109.6777,107.3215
19.302,0.6582,55.4035,112.3747,100.8629,0.7992,84.7266,109.8062,107.5158
19.402,0.6253,55.4035,112.3747,100.8629,0.7592,84.7266,109.8062,107.5158
19.502,0.594,55.4035,112.3747,100.8629,0.7213,84.7266,109.8062,107.5158
19.602,0.6721,55.2126,112.5213,100.7058,0.7915,84.7579,109.9403,107.6796
19.702,0.6385,55.2126,112.5213,100.7058,0.752,84.7579,109.9403,107.6796
19.802,0.6065,55.2126,112.5213,100.7058,0.7144,84.7579,109.9403,107.6796
19.902,0.6871,55.0079,112.6859,100.558,0.7736,84.7941,110.0542,107.831
20.002,0.6527,55.0079,112.6859,100.558,0.7349,84.7941,110.0542,107.831
20.102,0.6201,55.0079,112.6859,100.558,0.6982,84.7941,110.0542,107.831
20.202,0.6948,54.8067,112.8543,100.4305,0.7658,84.8467,110.1664,108.0024
20.302,0.66,54.8067,112.8543,100.4305,0.7275,84.8467,110.1664,108.0024
20.402,0.627,54.8067,112.8543,100.4305,0.6911,84.8467,110.1664,108.0024
20.502,0.6984,54.5996,113.0348,100.3199,0.7541,84.927,110.2507,108.1854
20.602,0.6984,54.5996,113.0348,100.3199,0.7541,84.927,110.2507,108.1854
20.702,0.6635,54.5996,113.0348,100.3199,0.7164,84.927,110.2507,108.1854
20.802,0.7106,54.4057,113.2126,100.2412,0.7699,85.0412,110.3091,108.3903
20.903,0.6751,54.4057,113.2126,100.2412,0.7314,85.0412,110.3091,108.3903
21.002,0.6413,54.4057,113.2126,100.2412,0.6948,85.0412,110.3091,108.3903
21.102,0.7101,54.2047,113.408,100.1906,0.7672,85.1907,110.3251,108.6042
21.202,0.6746,54.2047,113.408,100.1906,0.7288,85.1907,110.3251,108.6042
21.302,0.6408,54.2047,113.408,100.1906,0.6924,85.1907,110.3251,108.6042
21.402,0.713,54.2047,113.6133,100.163,0.7707,85.1907,110.3041,108.8283
21.502,0.6774,54.0019,113.6133,100.163,0.7321,85.3726,110.3041,108.8283
21.602,0.6435,54.0019,113.6133,100.163,0.6955,85.3726,110.3041,108.8283
21.702,0.6113,54.0019,113.6133,100.163,0.6608,85.3726,110.3041,108.8283
21.802,0.6744,53.8187,113.7971,100.133,0.7432,85.5515,110.295,109.0586
21.902,0.6407,53.8187,113.7971,100.133,0.7061,85.5515,110.295,109.0586
22.002,0.6086,53.8187,113.7971,100.133,0.6708,85.5515,110.295,109.0586
22.102,0.6686,53.6301,113.9817,100.0896,0.7414,85.6955,110.3234,109.275
22.202,0.6352,53.6301,113.9817,100.0896,0.7043,85.6955,110.3234,109.275
22.302,0.6352,53.6301,113.9817,100.0896,0.7043,85.6955,110.3234,109.275
22.402,0.6813,53.4395,114.159,100.0191,0.7491,85.8183,110.3616,109.4716
