"Step","Feb12_03-32-08_PPO - Reward / Total reward (mean)","Feb12_03-32-08_PPO - Reward / Total reward (mean)__MIN","Feb12_03-32-08_PPO - Reward / Total reward (mean)__MAX"
"5266","-2.0006385","-2.0006385","-2.0006385"
"5286","-2.1288028","-2.1288028","-2.1288028"
"5306","-2.0785804","-2.0785804","-2.0785804"
"5334","-1.8251286","-1.8251286","-1.8251286"
"5351","-1.9549463","-1.9549463","-1.9549463"
"5371","-1.3433133","-1.3433133","-1.3433133"
"5388","-1.9650452","-1.9650452","-1.9650452"
"5408","-1.9052103","-1.9052103","-1.9052103"
"5420","-1.5129856","-1.5129856","-1.5129856"
"5437","-2.1808667","-2.1808667","-2.1808667"
"5465","-1.6998495","-1.6998495","-1.6998495"
"5485","-1.9577605","-1.9577605","-1.9577605"
"5494","-1.957459","-1.957459","-1.957459"
"5522","-1.6269202","-1.6269202","-1.6269202"
"5542","-1.7743313","-1.7743313","-1.7743313"
"5559","-1.7493113","-1.7493113","-1.7493113"
"5571","-1.6290401","-1.6290401","-1.6290401"
"5591","-1.790454","-1.790454","-1.790454"
"5616","-2.085605","-2.085605","-2.085605"
"5636","-1.6991763","-1.6991763","-1.6991763"
"5656","-1.5945071","-1.5945071","-1.5945071"
"5673","-1.8159267","-1.8159267","-1.8159267"
"5693","-1.5370315","-1.5370315","-1.5370315"
"5705","-1.7203381","-1.7203381","-1.7203381"
"5730","-1.691824","-1.691824","-1.691824"
"5750","-1.663744","-1.663744","-1.663744"
"5762","-1.708542","-1.708542","-1.708542"
"5787","-1.450824","-1.450824","-1.450824"
"5807","-1.5976413","-1.5976413","-1.5976413"
"5827","-1.7480496","-1.7480496","-1.7480496"
"5844","-1.4529266","-1.4529266","-1.4529266"
"5864","-1.5467434","-1.5467434","-1.5467434"
"5884","-1.4714744","-1.4714744","-1.4714744"
"5901","-1.8936977","-1.8936977","-1.8936977"
"5913","-1.7456083","-1.7456083","-1.7456083"
"5933","-1.7632391","-1.7632391","-1.7632391"
"5950","-1.7973663","-1.7973663","-1.7973663"
"5978","-1.539764","-1.539764","-1.539764"
"5998","-1.8791022","-1.8791022","-1.8791022"
"6015","-1.5623634","-1.5623634","-1.5623634"
"6035","-1.9146823","-1.9146823","-1.9146823"
"6055","-1.7980516","-1.7980516","-1.7980516"
"6072","-1.8308126","-1.8308126","-1.8308126"
"6092","-1.5564395","-1.5564395","-1.5564395"
"6112","-1.5226012","-1.5226012","-1.5226012"
"6129","-1.4240042","-1.4240042","-1.4240042"
"6141","-0.9435031","-0.9435031","-0.9435031"
"6169","-1.5284077","-1.5284077","-1.5284077"
"6186","-1.3771062","-1.3771062","-1.3771062"
"6206","-1.6705538","-1.6705538","-1.6705538"
"6226","-1.4477323","-1.4477323","-1.4477323"
"6243","-1.2774878","-1.2774878","-1.2774878"
"6263","-1.409237","-1.409237","-1.409237"
"6283","-1.3386816","-1.3386816","-1.3386816"
"6300","-1.2485054","-1.2485054","-1.2485054"
"6320","-1.3944306","-1.3944306","-1.3944306"
"6340","-1.3756536","-1.3756536","-1.3756536"
"6357","-1.4098817","-1.4098817","-1.4098817"
"6377","-0.95262504","-0.95262504","-0.95262504"
"6397","-1.3315082","-1.3315082","-1.3315082"
"6414","-1.3677138","-1.3677138","-1.3677138"
"6434","-1.175968","-1.175968","-1.175968"
"6454","-1.1985328","-1.1985328","-1.1985328"
"6471","-1.306679","-1.306679","-1.306679"
"6491","-1.2468066","-1.2468066","-1.2468066"
"6503","-1.1317587","-1.1317587","-1.1317587"
"6528","-1.1446714","-1.1446714","-1.1446714"
"6540","-1.2616931","-1.2616931","-1.2616931"
"6568","-1.2016493","-1.2016493","-1.2016493"
"6585","-1.3974768","-1.3974768","-1.3974768"
"6605","-0.9715206","-0.9715206","-0.9715206"
"6625","-1.3450867","-1.3450867","-1.3450867"
"6642","-1.2124994","-1.2124994","-1.2124994"
"6662","-1.3546103","-1.3546103","-1.3546103"
"6674","-1.2311647","-1.2311647","-1.2311647"
"6699","-1.021771","-1.021771","-1.021771"
"6711","-1.3369975","-1.3369975","-1.3369975"
"6731","-1.1003224","-1.1003224","-1.1003224"
"6756","-1.3057057","-1.3057057","-1.3057057"
"6768","-1.058149","-1.058149","-1.058149"
"6796","-1.5421897","-1.5421897","-1.5421897"
"6813","-1.227337","-1.227337","-1.227337"
"6833","-1.160262","-1.160262","-1.160262"
"6853","-1.2633126","-1.2633126","-1.2633126"
"6870","-1.213564","-1.213564","-1.213564"
"6890","-1.1177958","-1.1177958","-1.1177958"
"6910","-1.3741258","-1.3741258","-1.3741258"
"6919","-1.1515758","-1.1515758","-1.1515758"
"6939","-1.053465","-1.053465","-1.053465"
"6967","-1.0056931","-1.0056931","-1.0056931"
"6984","-0.868731","-0.868731","-0.868731"
"7004","-1.2615497","-1.2615497","-1.2615497"
"7024","-0.7377297","-0.7377297","-0.7377297"
"7041","-1.1278358","-1.1278358","-1.1278358"
"7061","-0.97523695","-0.97523695","-0.97523695"
"7081","-0.87568027","-0.87568027","-0.87568027"
"7098","-1.0010908","-1.0010908","-1.0010908"
"7118","-0.94896686","-0.94896686","-0.94896686"
"7130","-1.0955216","-1.0955216","-1.0955216"
"7155","-0.8980626","-0.8980626","-0.8980626"
"7167","-1.269567","-1.269567","-1.269567"
"7195","-0.9410415","-0.9410415","-0.9410415"
"7212","-0.7286344","-0.7286344","-0.7286344"
"7232","-0.7919889","-0.7919889","-0.7919889"
"7252","-1.0930828","-1.0930828","-1.0930828"
"7269","-1.0905993","-1.0905993","-1.0905993"
"7289","-0.99167067","-0.99167067","-0.99167067"
"7309","-0.86505914","-0.86505914","-0.86505914"
"7326","-1.069735","-1.069735","-1.069735"
"7338","-1.150484","-1.150484","-1.150484"
"7366","-0.73909","-0.73909","-0.73909"
"7383","-0.9677041","-0.9677041","-0.9677041"
"7395","-0.84373695","-0.84373695","-0.84373695"
"7423","-0.58530307","-0.58530307","-0.58530307"
"7440","-1.0918752","-1.0918752","-1.0918752"
"7460","-0.5639589","-0.5639589","-0.5639589"
"7480","-0.85274833","-0.85274833","-0.85274833"
"7489","-1.0259323","-1.0259323","-1.0259323"
"7517","-1.0689303","-1.0689303","-1.0689303"
"7537","-0.9670459","-0.9670459","-0.9670459"
"7554","-0.7811535","-0.7811535","-0.7811535"
"7566","-1.1619859","-1.1619859","-1.1619859"
"7594","-0.57963973","-0.57963973","-0.57963973"
"7611","-0.8307875","-0.8307875","-0.8307875"
"7631","-0.81997156","-0.81997156","-0.81997156"
"7651","-0.7957963","-0.7957963","-0.7957963"
"7660","-1.006086","-1.006086","-1.006086"
"7688","-0.72968024","-0.72968024","-0.72968024"
"7708","-1.0996648","-1.0996648","-1.0996648"
"7725","-0.82537264","-0.82537264","-0.82537264"
"7745","-0.8368043","-0.8368043","-0.8368043"
"7765","-0.8032213","-0.8032213","-0.8032213"
"7782","-0.9337462","-0.9337462","-0.9337462"
"7802","-1.1523948","-1.1523948","-1.1523948"
"7822","-1.1760709","-1.1760709","-1.1760709"
"7839","-0.73336244","-0.73336244","-0.73336244"
"7859","-1.0171844","-1.0171844","-1.0171844"
"7879","-0.69802487","-0.69802487","-0.69802487"
"7896","-0.8757321","-0.8757321","-0.8757321"
"7916","-1.0156705","-1.0156705","-1.0156705"
"7928","-0.93254197","-0.93254197","-0.93254197"
"7953","-0.95491254","-0.95491254","-0.95491254"
"7973","-0.36372545","-0.36372545","-0.36372545"
"7993","-0.73477787","-0.73477787","-0.73477787"
"8010","-0.8061148","-0.8061148","-0.8061148"
"8030","-0.7194597","-0.7194597","-0.7194597"
"8050","-0.9638122","-0.9638122","-0.9638122"
"8073","-0.7586739","-0.7586739","-0.7586739"
"8093","-0.90916455","-0.90916455","-0.90916455"
"8118","-0.6228215","-0.6228215","-0.6228215"
"8138","-0.61288106","-0.61288106","-0.61288106"
"8150","-0.539151","-0.539151","-0.539151"
