"Step","Feb24_22-53-44_trpo_rover_TRPO - Reward / Total reward (mean)","Feb24_22-53-44_trpo_rover_TRPO - Reward / Total reward (mean)__MIN","Feb24_22-53-44_trpo_rover_TRPO - Reward / Total reward (mean)__MAX"
"8450","-0.9463578","-0.9463578","-0.9463578"
"8467","-0.7327284","-0.7327284","-0.7327284"
"8480","-0.85456383","-0.85456383","-0.85456383"
"8509","-0.89961416","-0.89961416","-0.89961416"
"8530","-0.85922974","-0.85922974","-0.85922974"
"8547","-0.8208572","-0.8208572","-0.8208572"
"8568","-0.8555937","-0.8555937","-0.8555937"
"8585","-0.9047401","-0.9047401","-0.9047401"
"8606","-0.7250917","-0.7250917","-0.7250917"
"8627","-0.92471105","-0.92471105","-0.92471105"
"8644","-0.7111526","-0.7111526","-0.7111526"
"8665","-0.6409176","-0.6409176","-0.6409176"
"8686","-0.69036067","-0.69036067","-0.69036067"
"8695","-0.617249","-0.617249","-0.617249"
"8716","-0.7336002","-0.7336002","-0.7336002"
"8745","-0.7676518","-0.7676518","-0.7676518"
"8762","-0.66818917","-0.66818917","-0.66818917"
"8783","-0.60732913","-0.60732913","-0.60732913"
"8804","-0.77301204","-0.77301204","-0.77301204"
"8821","-0.76411456","-0.76411456","-0.76411456"
"8842","-0.82428426","-0.82428426","-0.82428426"
"8863","-0.6937266","-0.6937266","-0.6937266"
"8880","-0.8117178","-0.8117178","-0.8117178"
"8901","-0.7722052","-0.7722052","-0.7722052"
"8914","-0.7654312","-0.7654312","-0.7654312"
"8931","-0.62184954","-0.62184954","-0.62184954"
"8960","-0.94782555","-0.94782555","-0.94782555"
"8981","-0.9543367","-0.9543367","-0.9543367"
"9002","-0.69992954","-0.69992954","-0.69992954"
"9011","-0.6521518","-0.6521518","-0.6521518"
"9040","-0.79383105","-0.79383105","-0.79383105"
"9057","-0.59605587","-0.59605587","-0.59605587"
"9078","-0.52303225","-0.52303225","-0.52303225"
"9099","-0.8655711","-0.8655711","-0.8655711"
"9116","-0.646703","-0.646703","-0.646703"
"9137","-0.3983724","-0.3983724","-0.3983724"
"9158","-0.66293097","-0.66293097","-0.66293097"
"9175","-0.56171775","-0.56171775","-0.56171775"
"9196","-0.67258203","-0.67258203","-0.67258203"
"9217","-0.7251372","-0.7251372","-0.7251372"
"9234","-0.57547945","-0.57547945","-0.57547945"
"9255","-0.6864896","-0.6864896","-0.6864896"
"9276","-0.54406327","-0.54406327","-0.54406327"
"9293","-0.75574356","-0.75574356","-0.75574356"
"9314","-0.79930705","-0.79930705","-0.79930705"
"9335","-0.72739905","-0.72739905","-0.72739905"
"9352","-0.5592088","-0.5592088","-0.5592088"
"9373","-0.50519043","-0.50519043","-0.50519043"
"9394","-0.57657695","-0.57657695","-0.57657695"
"9411","-0.83516306","-0.83516306","-0.83516306"
"9432","-0.6162892","-0.6162892","-0.6162892"
"9453","-0.6562559","-0.6562559","-0.6562559"
"9470","-0.8028227","-0.8028227","-0.8028227"
"9483","-0.77365804","-0.77365804","-0.77365804"
"9512","-0.52885485","-0.52885485","-0.52885485"
"9521","-0.79330033","-0.79330033","-0.79330033"
"9550","-0.24713135","-0.24713135","-0.24713135"
"9571","-0.54393816","-0.54393816","-0.54393816"
"9580","-0.4985724","-0.4985724","-0.4985724"
"9609","-0.45826554","-0.45826554","-0.45826554"
"9630","-0.58085793","-0.58085793","-0.58085793"
"9647","-0.50726986","-0.50726986","-0.50726986"
"9668","-0.4824244","-0.4824244","-0.4824244"
"9689","-0.5721671","-0.5721671","-0.5721671"
"9706","-0.4729978","-0.4729978","-0.4729978"
"9727","-0.5295499","-0.5295499","-0.5295499"
"9748","-0.6724343","-0.6724343","-0.6724343"
"9765","-0.6999934","-0.6999934","-0.6999934"
"9786","-0.71438885","-0.71438885","-0.71438885"
"9807","-0.60293114","-0.60293114","-0.60293114"
"9824","-0.57917845","-0.57917845","-0.57917845"
"9845","-0.41442925","-0.41442925","-0.41442925"
"9866","-0.8076117","-0.8076117","-0.8076117"
"9883","-0.5954716","-0.5954716","-0.5954716"
"9896","-0.6069752","-0.6069752","-0.6069752"
"9925","-0.4024253","-0.4024253","-0.4024253"
"9934","-0.64857143","-0.64857143","-0.64857143"
"9963","-0.4021988","-0.4021988","-0.4021988"
"9984","-0.48794466","-0.48794466","-0.48794466"
"10001","-0.51479214","-0.51479214","-0.51479214"
"10022","-0.39491716","-0.39491716","-0.39491716"
"10043","-0.45724455","-0.45724455","-0.45724455"
"10060","-0.5845597","-0.5845597","-0.5845597"
"10081","-0.35841084","-0.35841084","-0.35841084"
"10102","-0.5188682","-0.5188682","-0.5188682"
"10119","-0.39271167","-0.39271167","-0.39271167"
"10140","-0.7902003","-0.7902003","-0.7902003"
"10161","-0.47638524","-0.47638524","-0.47638524"
"10178","-0.3919398","-0.3919398","-0.3919398"
"10191","-0.3812353","-0.3812353","-0.3812353"
"10220","-0.34877107","-0.34877107","-0.34877107"
"10237","-0.464356","-0.464356","-0.464356"
"10258","-0.56857187","-0.56857187","-0.56857187"
"10271","-0.4236446","-0.4236446","-0.4236446"
"10296","-0.7881456","-0.7881456","-0.7881456"
"10309","-0.51472735","-0.51472735","-0.51472735"
"10338","-0.4178652","-0.4178652","-0.4178652"
"10347","-0.5404118","-0.5404118","-0.5404118"
"10376","-0.3763261","-0.3763261","-0.3763261"
"10397","-0.47285026","-0.47285026","-0.47285026"
"10414","-0.42037827","-0.42037827","-0.42037827"
"10435","-0.4278648","-0.4278648","-0.4278648"
"10456","-0.6524269","-0.6524269","-0.6524269"
"10473","-0.48657134","-0.48657134","-0.48657134"
"10486","-0.4921686","-0.4921686","-0.4921686"
