"Step","Feb13_10-59-31_PPO - Episode / Total timesteps (mean)","Feb13_10-59-31_PPO - Episode / Total timesteps (mean)__MIN","Feb13_10-59-31_PPO - Episode / Total timesteps (mean)__MAX"
"5773","132.5703","132.5703","132.5703"
"5782","138.76654","138.76654","138.76654"
"5802","140.4577","140.4577","140.4577"
"5830","142.66365","142.66365","142.66365"
"5847","128.34953","128.34953","128.34953"
"5859","133.50626","133.50626","133.50626"
"5879","130.7581","130.7581","130.7581"
"5904","122.341225","122.341225","122.341225"
"5916","116.46732","116.46732","116.46732"
"5944","141.97466","141.97466","141.97466"
"5961","127.80269","127.80269","127.80269"
"5981","180.52672","180.52672","180.52672"
"5993","126.702255","126.702255","126.702255"
"6010","123.236206","123.236206","123.236206"
"6038","135.4905","135.4905","135.4905"
"6050","159.28714","159.28714","159.28714"
"6067","129.15584","129.15584","129.15584"
"6087","118.855156","118.855156","118.855156"
"6115","121.14106","121.14106","121.14106"
"6124","121.34689","121.34689","121.34689"
"6144","126.539955","126.539955","126.539955"
"6164","143.34587","143.34587","143.34587"
"6189","126.21579","126.21579","126.21579"
"6201","120.63706","120.63706","120.63706"
"6221","124.71067","124.71067","124.71067"
"6238","126.07382","126.07382","126.07382"
"6266","133.27158","133.27158","133.27158"
"6278","146.44363","146.44363","146.44363"
"6303","146.53108","146.53108","146.53108"
"6323","123.09283","123.09283","123.09283"
"6335","129.8323","129.8323","129.8323"
"6360","147.15704","147.15704","147.15704"
"6372","116.53723","116.53723","116.53723"
"6400","131.06573","131.06573","131.06573"
"6417","128.40993","128.40993","128.40993"
"6437","130.775","130.775","130.775"
"6457","130.98541","130.98541","130.98541"
"6474","120.38078","120.38078","120.38078"
"6486","137.07178","137.07178","137.07178"
"6506","141.02278","141.02278","141.02278"
"6523","149.9155","149.9155","149.9155"
"6543","119.7492","119.7492","119.7492"
"6571","129.26181","129.26181","129.26181"
"6588","122.416916","122.416916","122.416916"
"6600","130.69034","130.69034","130.69034"
"6620","125.16646","125.16646","125.16646"
"6637","122.35447","122.35447","122.35447"
"6657","133.62888","133.62888","133.62888"
"6677","126.44317","126.44317","126.44317"
"6702","118.12791","118.12791","118.12791"
