"Step","Feb13_16-07-32_PPO - Reward / Total reward (mean)","Feb13_16-07-32_PPO - Reward / Total reward (mean)__MIN","Feb13_16-07-32_PPO - Reward / Total reward (mean)__MAX"
"5970","1.6695","1.6695","1.6695"
"5990","1.2776022","1.2776022","1.2776022"
"6007","1.565904","1.565904","1.565904"
"6027","0.7099139","0.7099139","0.7099139"
"6047","1.2241738","1.2241738","1.2241738"
"6064","1.4397551","1.4397551","1.4397551"
"6084","1.3807683","1.3807683","1.3807683"
"6104","1.4910692","1.4910692","1.4910692"
"6121","1.591341","1.591341","1.591341"
"6149","1.4791429","1.4791429","1.4791429"
"6161","1.5126961","1.5126961","1.5126961"
"6178","1.363727","1.363727","1.363727"
"6198","1.4885918","1.4885918","1.4885918"
"6218","1.6396023","1.6396023","1.6396023"
"6235","1.5804878","1.5804878","1.5804878"
"6255","1.5954862","1.5954862","1.5954862"
"6283","1.4744532","1.4744532","1.4744532"
"6292","1.5719767","1.5719767","1.5719767"
"6312","1.3681269","1.3681269","1.3681269"
"6340","1.2459242","1.2459242","1.2459242"
"6349","1.5010035","1.5010035","1.5010035"
"6377","1.5851318","1.5851318","1.5851318"
"6389","1.3680464","1.3680464","1.3680464"
"6406","1.3274956","1.3274956","1.3274956"
"6426","1.3998907","1.3998907","1.3998907"
"6446","1.5844837","1.5844837","1.5844837"
"6471","1.07565","1.07565","1.07565"
"6483","1.5755932","1.5755932","1.5755932"
"6511","1.5086552","1.5086552","1.5086552"
"6528","1.6168336","1.6168336","1.6168336"
"6548","1.2773464","1.2773464","1.2773464"
"6568","1.394378","1.394378","1.394378"
"6577","1.2454721","1.2454721","1.2454721"
"6597","1.5117223","1.5117223","1.5117223"
"6617","1.6329203","1.6329203","1.6329203"
"6642","1.5818537","1.5818537","1.5818537"
"6662","1.610535","1.610535","1.610535"
"6682","1.6550636","1.6550636","1.6550636"
"6699","1.215443","1.215443","1.215443"
"6719","1.3570063","1.3570063","1.3570063"
"6731","1.5885773","1.5885773","1.5885773"
"6748","1.580392","1.580392","1.580392"
"6768","1.5547479","1.5547479","1.5547479"
"6796","1.5379033","1.5379033","1.5379033"
"6813","1.3351619","1.3351619","1.3351619"
"6825","1.6009773","1.6009773","1.6009773"
"6845","1.6429992","1.6429992","1.6429992"
"6870","1.5398914","1.5398914","1.5398914"
"6882","1.6922171","1.6922171","1.6922171"
"6902","1.5889686","1.5889686","1.5889686"
"6927","1.6475385","1.6475385","1.6475385"
"6939","1.4866719","1.4866719","1.4866719"
"6959","1.5673437","1.5673437","1.5673437"
"6976","1.2100573","1.2100573","1.2100573"
"6996","1.5664828","1.5664828","1.5664828"
"7024","1.4996448","1.4996448","1.4996448"
"7033","1.6252898","1.6252898","1.6252898"
"7061","1.6302211","1.6302211","1.6302211"
"7081","1.6539675","1.6539675","1.6539675"
"7098","1.6796197","1.6796197","1.6796197"
"7110","1.7504816","1.7504816","1.7504816"
"7130","1.1772306","1.1772306","1.1772306"
"7155","1.5191412","1.5191412","1.5191412"
"7167","1.5080279","1.5080279","1.5080279"
"7187","1.4705874","1.4705874","1.4705874"
"7212","1.7586769","1.7586769","1.7586769"
"7224","1.2135344","1.2135344","1.2135344"
"7252","1.3628048","1.3628048","1.3628048"
"7261","1.7014582","1.7014582","1.7014582"
"7281","1.546298","1.546298","1.546298"
"7301","1.2708415","1.2708415","1.2708415"
"7326","1.3729172","1.3729172","1.3729172"
"7346","1.7093933","1.7093933","1.7093933"
"7358","1.5561147","1.5561147","1.5561147"
"7383","1.138669","1.138669","1.138669"
"7395","1.4842951","1.4842951","1.4842951"
"7415","1.6824219","1.6824219","1.6824219"
"7432","1.6224418","1.6224418","1.6224418"
"7452","1.661552","1.661552","1.661552"
"7472","1.4171219","1.4171219","1.4171219"
"7489","1.4751272","1.4751272","1.4751272"
"7509","1.5589733","1.5589733","1.5589733"
"7537","1.5709056","1.5709056","1.5709056"
"7554","1.6855929","1.6855929","1.6855929"
"7566","1.27542","1.27542","1.27542"
"7594","1.3043888","1.3043888","1.3043888"
"7603","1.4790844","1.4790844","1.4790844"
"7623","1.6860069","1.6860069","1.6860069"
"7643","1.4957647","1.4957647","1.4957647"
"7660","1.5630124","1.5630124","1.5630124"
"7680","1.6248193","1.6248193","1.6248193"
"7700","0.9950397","0.9950397","0.9950397"
"7717","1.6297637","1.6297637","1.6297637"
"7737","1.2721264","1.2721264","1.2721264"
"7757","1.250722","1.250722","1.250722"
"7774","1.5635144","1.5635144","1.5635144"
"7794","1.3682685","1.3682685","1.3682685"
"7814","1.4841102","1.4841102","1.4841102"
"7831","1.4535929","1.4535929","1.4535929"
"7859","1.445629","1.445629","1.445629"
"7879","1.552885","1.552885","1.552885"
"7888","1.4448019","1.4448019","1.4448019"
"7916","1.1179793","1.1179793","1.1179793"
"7928","1.5012125","1.5012125","1.5012125"
"7945","1.4094324","1.4094324","1.4094324"
"7973","1.0091499","1.0091499","1.0091499"
"7985","1.6092043","1.6092043","1.6092043"
"8010","1.1631382","1.1631382","1.1631382"
"8022","1.5012617","1.5012617","1.5012617"
"8042","1.3399688","1.3399688","1.3399688"
"8067","1.4622649","1.4622649","1.4622649"
"8079","1.1539311","1.1539311","1.1539311"
"8099","1.4136366","1.4136366","1.4136366"
"8124","1.3955891","1.3955891","1.3955891"
"8136","1.464917","1.464917","1.464917"
"8156","1.5662917","1.5662917","1.5662917"
"8181","1.3284491","1.3284491","1.3284491"
"8193","1.4582056","1.4582056","1.4582056"
"8213","1.1072882","1.1072882","1.1072882"
"8238","1.2931812","1.2931812","1.2931812"
"8250","1.3008467","1.3008467","1.3008467"
"8278","1.2962607","1.2962607","1.2962607"
"8287","1.2826034","1.2826034","1.2826034"
"8315","1.0217966","1.0217966","1.0217966"
"8335","1.1990814","1.1990814","1.1990814"
"8344","1.2636718","1.2636718","1.2636718"
"8364","1.3296489","1.3296489","1.3296489"
"8384","1.5667213","1.5667213","1.5667213"
"8409","1.2709324","1.2709324","1.2709324"
"8421","1.5912747","1.5912747","1.5912747"
"8441","1.3977102","1.3977102","1.3977102"
"8458","1.3854837","1.3854837","1.3854837"
"8478","1.6658756","1.6658756","1.6658756"
"8506","1.4912986","1.4912986","1.4912986"
"8523","1.3932778","1.3932778","1.3932778"
"8535","1.5115596","1.5115596","1.5115596"
"8563","1.5066804","1.5066804","1.5066804"
"8580","1.35867","1.35867","1.35867"
"8592","1.6879779","1.6879779","1.6879779"
"8612","1.326643","1.326643","1.326643"
"8637","1.6955935","1.6955935","1.6955935"
"8649","1.5434452","1.5434452","1.5434452"
"8669","1.319646","1.319646","1.319646"
"8686","1.5273278","1.5273278","1.5273278"
"8706","1.6094815","1.6094815","1.6094815"
"8726","1.3306762","1.3306762","1.3306762"
"8743","1.5118746","1.5118746","1.5118746"
"8771","1.2764131","1.2764131","1.2764131"
"8783","1.2338204","1.2338204","1.2338204"
"8808","1.2011107","1.2011107","1.2011107"
"8828","1.4338838","1.4338838","1.4338838"
"8848","1.4715675","1.4715675","1.4715675"
"8857","1.4744377","1.4744377","1.4744377"
"8877","1.725509","1.725509","1.725509"
"8905","1.2175457","1.2175457","1.2175457"
"8914","1.2170392","1.2170392","1.2170392"
"8934","1.2470261","1.2470261","1.2470261"
"8962","1.4460208","1.4460208","1.4460208"
"8971","1.3347849","1.3347849","1.3347849"
"8999","1.6936808","1.6936808","1.6936808"
"9011","1.3752574","1.3752574","1.3752574"
"9036","1.6431484","1.6431484","1.6431484"
"9056","1.5421953","1.5421953","1.5421953"
"9068","1.4231822","1.4231822","1.4231822"
"9085","1.3706043","1.3706043","1.3706043"
"9113","1.4083323","1.4083323","1.4083323"
"9125","1.463371","1.463371","1.463371"
"9142","1.412482","1.412482","1.412482"
"9170","1.5850016","1.5850016","1.5850016"
"9190","1.0856062","1.0856062","1.0856062"
"9199","1.5204699","1.5204699","1.5204699"
"9219","1.2883399","1.2883399","1.2883399"
"9239","1.5081844","1.5081844","1.5081844"
"9264","1.7646098","1.7646098","1.7646098"
"9276","1.7043583","1.7043583","1.7043583"
"9296","1.5272789","1.5272789","1.5272789"
"9321","1.6763004","1.6763004","1.6763004"
"9333","1.4684922","1.4684922","1.4684922"
"9353","1.6200814","1.6200814","1.6200814"
"9378","1.560759","1.560759","1.560759"
"9390","1.6193004","1.6193004","1.6193004"
"9418","1.3622566","1.3622566","1.3622566"
"9427","1.5893867","1.5893867","1.5893867"
"9447","1.6425828","1.6425828","1.6425828"
"9475","1.3299131","1.3299131","1.3299131"
"9492","1.4225638","1.4225638","1.4225638"
"9504","1.5714152","1.5714152","1.5714152"
"9532","1.4169583","1.4169583","1.4169583"
"9541","1.6249523","1.6249523","1.6249523"
"9561","1.6623743","1.6623743","1.6623743"
"9581","1.5769839","1.5769839","1.5769839"
"9598","1.6680511","1.6680511","1.6680511"
"9618","1.5763515","1.5763515","1.5763515"
"9638","1.531669","1.531669","1.531669"
"9655","1.5795056","1.5795056","1.5795056"
"9675","1.2764953","1.2764953","1.2764953"
"9703","1.3722812","1.3722812","1.3722812"
"9712","1.6223055","1.6223055","1.6223055"
"9732","1.4666212","1.4666212","1.4666212"
"9752","1.6603568","1.6603568","1.6603568"
"9769","1.2617245","1.2617245","1.2617245"
"9797","1.6112716","1.6112716","1.6112716"
"9809","1.5353626","1.5353626","1.5353626"
"9826","1.3535625","1.3535625","1.3535625"
"9846","1.4648155","1.4648155","1.4648155"
"9874","1.390751","1.390751","1.390751"
"9883","1.4035306","1.4035306","1.4035306"
"9903","1.7348812","1.7348812","1.7348812"
"9931","1.6318811","1.6318811","1.6318811"
"9948","1.4191892","1.4191892","1.4191892"
"9968","1.5537963","1.5537963","1.5537963"
"9980","1.3930672","1.3930672","1.3930672"
"9997","1.5220505","1.5220505","1.5220505"
"10017","1.6948901","1.6948901","1.6948901"
"10045","1.2927482","1.2927482","1.2927482"
"10054","1.4858416","1.4858416","1.4858416"
"10074","1.3713604","1.3713604","1.3713604"
"10094","1.5764407","1.5764407","1.5764407"
"10119","1.3421788","1.3421788","1.3421788"
"10131","1.2484758","1.2484758","1.2484758"
"10151","1.2339132","1.2339132","1.2339132"
"10168","1.7108674","1.7108674","1.7108674"
"10196","1.1943411","1.1943411","1.1943411"
"10208","1.4199228","1.4199228","1.4199228"
"10233","1.1498083","1.1498083","1.1498083"
"10253","1.720689","1.720689","1.720689"
"10273","1.5244005","1.5244005","1.5244005"
"10282","1.5660437","1.5660437","1.5660437"
"10310","1.5354767","1.5354767","1.5354767"
"10322","1.5280253","1.5280253","1.5280253"
"10339","1.731667","1.731667","1.731667"
"10359","1.4536769","1.4536769","1.4536769"
"10379","1.3439302","1.3439302","1.3439302"
"10404","1.3956589","1.3956589","1.3956589"
"10424","1.3467772","1.3467772","1.3467772"
"10444","1.5859686","1.5859686","1.5859686"
"10461","1.5227197","1.5227197","1.5227197"
"10473","1.5442722","1.5442722","1.5442722"
"10501","1.593756","1.593756","1.593756"
"10510","1.709683","1.709683","1.709683"
"10530","1.4171793","1.4171793","1.4171793"
"10550","1.4669098","1.4669098","1.4669098"
"10567","1.532554","1.532554","1.532554"
"10595","1.502976","1.502976","1.502976"
"10615","1.6769207","1.6769207","1.6769207"
"10624","1.4511917","1.4511917","1.4511917"
"10644","1.6171433","1.6171433","1.6171433"
"10664","1.6128992","1.6128992","1.6128992"
"10681","1.3320756","1.3320756","1.3320756"
"10701","1.5183425","1.5183425","1.5183425"
"10721","1.5462726","1.5462726","1.5462726"
"10738","1.4468286","1.4468286","1.4468286"
"10758","1.6158881","1.6158881","1.6158881"
"10786","1.4900854","1.4900854","1.4900854"
"10795","0.9085553","0.9085553","0.9085553"
"10823","1.4851131","1.4851131","1.4851131"
"10835","1.5136242","1.5136242","1.5136242"
"10852","1.2030996","1.2030996","1.2030996"
"10872","1.4807903","1.4807903","1.4807903"
"10892","1.2404075","1.2404075","1.2404075"
"10909","1.5213964","1.5213964","1.5213964"
"10929","1.3119562","1.3119562","1.3119562"
"10949","1.5077538","1.5077538","1.5077538"
"10974","1.497281","1.497281","1.497281"
"10994","1.4953179","1.4953179","1.4953179"
"11006","1.3027381","1.3027381","1.3027381"
"11023","1.650627","1.650627","1.650627"
"11043","1.6122414","1.6122414","1.6122414"
"11063","1.3252594","1.3252594","1.3252594"
"11088","1.515584","1.515584","1.515584"
"11100","1.0400211","1.0400211","1.0400211"
"11120","1.3539314","1.3539314","1.3539314"
"11137","1.5458461","1.5458461","1.5458461"
"11157","1.392884","1.392884","1.392884"
"11177","1.2517197","1.2517197","1.2517197"
"11194","1.5976696","1.5976696","1.5976696"
"11214","1.1051425","1.1051425","1.1051425"
"11234","1.5187451","1.5187451","1.5187451"
"11251","1.4925253","1.4925253","1.4925253"
"11271","1.0418653","1.0418653","1.0418653"
"11299","1.548772","1.548772","1.548772"
"11316","1.3104463","1.3104463","1.3104463"
"11336","1.0643404","1.0643404","1.0643404"
"11356","1.4314742","1.4314742","1.4314742"
"11373","1.6369578","1.6369578","1.6369578"
"11393","1.6768403","1.6768403","1.6768403"
"11405","1.6797408","1.6797408","1.6797408"
"11422","1.646705","1.646705","1.646705"
"11442","1.5235646","1.5235646","1.5235646"
