elapsed_s,r0_speed,r0_distance,r0_x,r0_y,r1_speed,r1_distance,r1_x,r1_y
204.902,0.5953,3.6202,170.5015,90.053,0.6475,48.2224,55.8096,119.2085
205.002,0.6434,3.4374,170.6545,90.1586,0.6968,48.0255,55.9888,119.1269
205.102,0.6113,3.4374,170.6545,90.1586,0.662,48.0255,55.9888,119.1269
205.202,0.5807,3.4374,170.6545,90.1586,0.6289,48.0255,55.9888,119.1269
205.302,0.6481,3.2455,170.8181,90.2638,0.7026,47.8135,56.1846,119.0455
205.402,0.6157,3.2455,170.8181,90.2638,0.6674,47.8135,56.1846,119.0455
205.502,0.5849,3.2455,170.8181,90.2638,0.6341,47.8135,56.1846,119.0455
205.602,0.5557,3.2455,170.8181,90.2638,0.6024,47.8135,56.1846,119.0455
205.702,0.6288,3.0456,170.9904,90.3693,0.6795,47.6004,56.3803,118.961
205.802,0.5973,3.0456,170.9904,90.3693,0.6455,47.6004,56.3803,118.961
205.902,0.5675,3.0456,170.9904,90.3693,0.6132,47.6004,56.3803,118.961
206.002,0.6426,3.0456,171.1654,90.4829,0.6813,47.6004,56.5604,118.8763
206.102,0.6105,2.8405,171.1654,90.4829,0.6472,47.4015,56.5604,118.8763
206.202,0.58,2.8405,171.1654,90.4829,0.6149,47.4015,56.5604,118.8763
206.302,0.6473,2.6391,171.3365,90.598,0.675,47.2069,56.7319,118.783
206.402,0.6473,2.6391,171.3365,90.598,0.675,47.2069,56.7319,118.783
206.502,0.5842,2.6391,171.3365,90.598,0.6092,47.2069,56.7319,118.783
206.602,0.5549,2.6391,171.3365,90.598,0.5788,47.2069,56.7319,118.783
206.702,0.6336,2.4349,171.5074,90.7243,0.6471,47.0128,56.9064,118.6976
206.802,0.6019,2.4349,171.5074,90.7243,0.6147,47.0128,56.9064,118.6976
206.902,0.5718,2.4349,171.5074,90.7243,0.584,47.0128,56.9064,118.6976
207.002,0.6433,2.2276,171.683,90.8507,0.6435,46.8202,57.0834,118.6217
207.102,0.6111,2.2276,171.683,90.8507,0.6113,46.8202,57.0834,118.6217
207.202,0.5806,2.2276,171.683,90.8507,0.5808,46.8202,57.0834,118.6217
207.302,0.6602,2.0179,171.8658,90.9685,0.6487,46.6263,57.2624,118.5472
207.402,0.6272,2.0179,171.8658,90.9685,0.6163,46.6263,57.2624,118.5472
207.502,0.5959,2.0179,171.8658,90.9685,0.5854,46.6263,57.2624,118.5472
207.602,0.6748,1.803,172.0604,91.0697,0.6519,46.4343,57.4442,118.4834
207.702,0.6748,1.803,172.0604,91.0697,0.6519,46.4343,57.4442,118.4834
207.802,0.609,1.803,172.0604,91.0697,0.5883,46.4343,57.4442,118.4834
207.902,0.5785,1.803,172.0604,91.0697,0.5589,46.4343,57.4442,118.4834
208.002,0.6555,1.5955,172.2507,91.162,0.6295,46.2396,57.6334,118.4303
208.102,0.6227,1.5955,172.2507,91.162,0.598,46.2396,57.6334,118.4303
208.202,0.5916,1.5955,172.2507,91.162,0.5681,46.2396,57.6334,118.4303
208.302,0.664,1.3864,172.4433,91.2574,0.6387,46.0368,57.8387,118.3936
208.402,0.664,1.3864,172.4433,91.2574,0.6387,46.0368,57.8387,118.3936
208.502,0.5993,1.3864,172.4433,91.2574,0.5764,46.0368,57.8387,118.3936
208.602,0.683,1.1697,172.6452,91.3557,0.6533,45.837,58.0469,118.371
208.702,0.6489,1.1697,172.6452,91.3557,0.6206,45.837,58.0469,118.371
208.802,0.6165,1.1697,172.6452,91.3557,0.5896,45.837,58.0469,118.371
208.902,0.692,0.9636,172.8404,91.45,0.6616,45.6435,58.2534,118.3598
209.002,0.6574,0.9636,172.8404,91.45,0.6285,45.6435,58.2534,118.3598
209.102,0.6574,0.9636,172.8404,91.45,0.6285,45.6435,58.2534,118.3598
209.202,0.5933,0.9636,172.8404,91.45,0.5672,45.6435,58.2534,118.3598
209.302,0.6797,0.9636,173.0596,91.5276,0.6491,45.6435,58.4733,118.3422
209.402,0.6457,0.7398,173.0596,91.5276,0.6166,45.4354,58.4733,118.3422
209.502,0.6134,0.7398,173.0596,91.5276,0.5858,45.4354,58.4733,118.3422
209.602,0.6878,0.5379,173.262,91.5758,0.6594,45.2373,58.6742,118.3065
209.702,0.6534,0.5379,173.262,91.5758,0.6265,45.2373,58.6742,118.3065
209.802,0.6208,0.5379,173.262,91.5758,0.5951,45.2373,58.6742,118.3065
209.902,0.6964,0.3275,173.4756,91.5972,0.6593,45.0493,58.8515,118.2427
210.002,0.6615,0.3275,173.4756,91.5972,0.6263,45.0493,58.8515,118.2427
210.102,0.6285,0.3275,173.4756,91.5972,0.595,45.0493,58.8515,118.2427
210.202,0.6285,0.3275,173.4756,91.5972,0.595,45.0493,58.8515,118.2427
210.302,0.6599,0.1132,173.6913,91.5814,0.6107,44.8781,59.0021,118.16
210.402,0.6269,0.1132,173.6913,91.5814,0.5802,44.8781,59.0021,118.16
210.502,0.5955,0.1132,173.6913,91.5814,0.5512,44.8781,59.0021,118.16
210.602,0.6721,74.3664,173.8989,91.5335,0.6066,44.7144,59.1391,118.0651
210.702,0.6385,74.3664,173.8989,91.5335,0.5763,44.7144,59.1391,118.0651
210.802,0.6066,74.3664,173.8989,91.5335,0.5475,44.7144,59.1391,118.0651
210.903,0.6066,74.3664,173.8989,91.5335,0.5475,44.7144,59.1391,118.0651
211.002,0.6365,74.5652,174.09,91.4547,0.5697,44.5465,59.272,117.9506
211.102,0.6046,74.5652,174.09,91.4547,0.5412,44.5465,59.272,117.9506
211.202,0.6706,74.7324,174.2451,91.3404,0.6109,44.3633,59.4136,117.8177
211.302,0.6371,74.7324,174.2451,91.3404,0.5804,44.3633,59.4136,117.8177
211.402,0.6052,74.7324,174.2451,91.3404,0.5514,44.3633,59.4136,117.8177
211.502,0.6563,74.8587,174.3567,91.2062,0.6238,44.1637,59.5658,117.6679
211.602,0.6563,74.8587,174.3567,91.2062,0.6238,44.1637,59.5658,117.6679
211.702,0.6235,74.8587,174.3567,91.2062,0.5926,44.1637,59.5658,117.6679
211.802,0.5627,74.8587,174.3567,91.2062,0.5348,44.1637,59.5658,117.6679
211.902,0.6181,74.9444,174.425,91.054,0.6186,43.9659,59.7074,117.4983
212.002,0.5872,74.9444,174.425,91.054,0.5876,43.9659,59.7074,117.4983
212.102,0.5578,74.9444,174.425,91.054,0.5583,43.9659,59.7074,117.4983
212.202,0.6129,74.9946,174.4554,90.8867,0.6382,43.7633,59.8572,117.3347
212.302,0.6129,74.9946,174.4554,90.8867,0.6382,43.7633,59.8572,117.3347
212.403,0.5823,74.9946,174.4554,90.8867,0.6063,43.7633,59.8572,117.3347
212.502,0.6442,74.9946,174.454,90.6874,0.6781,43.7633,60.0225,117.1899
212.602,0.612,75.0175,174.454,90.6874,0.6442,43.5541,60.0225,117.1899
