"Step","Feb26_10-47-04_trpo_rover_TRPO - Loss / Policy loss","Feb26_10-47-04_trpo_rover_TRPO - Loss / Policy loss__MIN","Feb26_10-47-04_trpo_rover_TRPO - Loss / Policy loss__MAX"
"9259","2.9802325e-9","2.9802325e-9","2.9802325e-9"
"9297","0","0","0"
"9318","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"9356","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"9377","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"9415","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"9436","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"9474","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"9495","-1.7881394e-8","-1.7881394e-8","-1.7881394e-8"
"9533","-3.576279e-8","-3.576279e-8","-3.576279e-8"
"9554","-2.9802322e-8","-2.9802322e-8","-2.9802322e-8"
"9592","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"9613","0","0","0"
"9651","5.960465e-9","5.960465e-9","5.960465e-9"
"9672","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"9710","-2.483527e-8","-2.483527e-8","-2.483527e-8"
"9731","2.5828681e-8","2.5828681e-8","2.5828681e-8"
"9769","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"9790","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"9828","7.947286e-9","7.947286e-9","7.947286e-9"
"9849","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"9887","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"9908","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"9946","8.940697e-9","8.940697e-9","8.940697e-9"
"9967","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"10005","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"10026","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"10064","3.973643e-9","3.973643e-9","3.973643e-9"
"10085","4.967054e-9","4.967054e-9","4.967054e-9"
"10123","1.2914341e-8","1.2914341e-8","1.2914341e-8"
"10144","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"10182","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"10203","1.7881394e-8","1.7881394e-8","1.7881394e-8"
"10241","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"10262","7.947286e-9","7.947286e-9","7.947286e-9"
"10300","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"10321","-1.8874806e-8","-1.8874806e-8","-1.8874806e-8"
"10359","1.7881394e-8","1.7881394e-8","1.7881394e-8"
"10380","0","0","0"
"10418","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"10439","5.960465e-9","5.960465e-9","5.960465e-9"
"10477","-2.2848448e-8","-2.2848448e-8","-2.2848448e-8"
"10498","3.973643e-9","3.973643e-9","3.973643e-9"
"10536","-2.1855037e-8","-2.1855037e-8","-2.1855037e-8"
"10557","-1.7881394e-8","-1.7881394e-8","-1.7881394e-8"
"10595","-7.450581e-9","-7.450581e-9","-7.450581e-9"
"10616","5.4637592e-9","5.4637592e-9","5.4637592e-9"
"10654","-9.934108e-10","-9.934108e-10","-9.934108e-10"
"10675","0","0","0"
"10713","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"10734","9.934108e-9","9.934108e-9","9.934108e-9"
"10772","2.483527e-9","2.483527e-9","2.483527e-9"
"10793","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"10831","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"10852","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"10890","1.192093e-8","1.192093e-8","1.192093e-8"
"10911","7.947286e-9","7.947286e-9","7.947286e-9"
"10949","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"10970","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"11008","0","0","0"
"11029","-1.6887984e-8","-1.6887984e-8","-1.6887984e-8"
"11067","3.973643e-9","3.973643e-9","3.973643e-9"
"11088","0","0","0"
"11126","7.947286e-9","7.947286e-9","7.947286e-9"
"11147","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"11185","1.6887984e-8","1.6887984e-8","1.6887984e-8"
"11206","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"11244","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"11265","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"11303","1.3907751e-8","1.3907751e-8","1.3907751e-8"
"11324","-1.8129747e-8","-1.8129747e-8","-1.8129747e-8"
"11362","1.3907751e-8","1.3907751e-8","1.3907751e-8"
"11383","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"11421","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"11442","-2.384186e-8","-2.384186e-8","-2.384186e-8"
"11480","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"11501","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"11539","0","0","0"
"11560","-2.7815503e-8","-2.7815503e-8","-2.7815503e-8"
"11598","-1.7881394e-8","-1.7881394e-8","-1.7881394e-8"
"11619","-2.5828681e-8","-2.5828681e-8","-2.5828681e-8"
"11657","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"11678","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"11716","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"11737","-1.09275184e-8","-1.09275184e-8","-1.09275184e-8"
"11775","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"11796","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"11834","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"11855","4.4703485e-9","4.4703485e-9","4.4703485e-9"
"11893","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"11914","7.947286e-9","7.947286e-9","7.947286e-9"
"11952","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"11973","-2.9802325e-9","-2.9802325e-9","-2.9802325e-9"
"12011","-1.09275184e-8","-1.09275184e-8","-1.09275184e-8"
"12032","7.947286e-9","7.947286e-9","7.947286e-9"
"12070","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"12091","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"12129","9.934108e-9","9.934108e-9","9.934108e-9"
"12150","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"12188","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"12209","6.9538757e-9","6.9538757e-9","6.9538757e-9"
"12247","7.947286e-9","7.947286e-9","7.947286e-9"
"12268","3.973643e-9","3.973643e-9","3.973643e-9"
"12306","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"12327","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"12365","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"12386","3.973643e-9","3.973643e-9","3.973643e-9"
"12424","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"12445","2.384186e-8","2.384186e-8","2.384186e-8"
"12483","2.9802325e-9","2.9802325e-9","2.9802325e-9"
"12504","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"12542","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"12563","1.2914341e-8","1.2914341e-8","1.2914341e-8"
"12601","-4.967054e-9","-4.967054e-9","-4.967054e-9"
"12622","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"12660","6.9538757e-9","6.9538757e-9","6.9538757e-9"
"12681","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"12719","0","0","0"
"12740","7.947286e-9","7.947286e-9","7.947286e-9"
"12778","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"12799","3.973643e-9","3.973643e-9","3.973643e-9"
"12837","-8.940697e-9","-8.940697e-9","-8.940697e-9"
"12858","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"12896","1.3411046e-8","1.3411046e-8","1.3411046e-8"
"12917","1.192093e-8","1.192093e-8","1.192093e-8"
"12955","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"12976","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"13014","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"13035","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"13073","0","0","0"
"13094","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
